model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
falcon_h1,a100-sxm4-80gb,8192,16,68,63.0,256,32,384,False,42.924543380737305,0.11362728670497863
falcon_h1,a100-sxm4-80gb,8192,32,68,63.0,256,32,768,False,83.95417404174805,0.4715987397225663
falcon_h1,a100-sxm4-80gb,512,1,81,75.0,256,2,24,True,1.4510079622268677,0.008496381581883095
falcon_h1,a100-sxm4-80gb,512,4,81,75.0,256,2,96,False,1.4561280012130737,0.010369469747658566
falcon_h1,a100-sxm4-80gb,512,16,81,75.0,256,2,384,False,2.3736319541931152,0.002276994671639705
falcon_h1,a100-sxm4-80gb,512,32,81,75.0,256,2,768,False,4.563967943191528,0.03815751559084549
falcon_h1,a100-sxm4-80gb,1024,1,81,75.0,256,4,24,True,2.8206080198287964,0.03173648101112237
falcon_h1,a100-sxm4-80gb,1024,4,81,75.0,256,4,96,False,2.8062719106674194,0.009594410971216884
falcon_h1,a100-sxm4-80gb,1024,16,81,75.0,256,4,384,False,4.693504095077515,0.01045898176937187
falcon_h1,a100-sxm4-80gb,1024,32,81,75.0,256,4,768,False,9.170432090759277,0.02473678260632792
falcon_h1,a100-sxm4-80gb,2048,1,81,75.0,256,8,24,True,5.528064012527466,0.014312006069657948
falcon_h1,a100-sxm4-80gb,2048,4,81,75.0,256,8,96,False,5.520383834838867,0.013799380879290724
falcon_h1,a100-sxm4-80gb,2048,16,81,75.0,256,8,384,False,9.395711898803711,0.06950956400256136
falcon_h1,a100-sxm4-80gb,2048,32,81,75.0,256,8,768,False,18.396672248840332,0.03604643044729419
falcon_h1,a100-sxm4-80gb,4096,1,81,75.0,256,16,24,True,10.945024013519287,0.02952565418913372
falcon_h1,a100-sxm4-80gb,4096,4,81,75.0,256,16,96,False,10.964479923248291,0.03837240713346002
falcon_h1,a100-sxm4-80gb,4096,16,81,75.0,256,16,384,False,18.86412811279297,0.07792008069716037
falcon_h1,a100-sxm4-80gb,4096,32,81,75.0,256,16,768,False,36.78105545043945,0.054318179584473006
falcon_h1,a100-sxm4-80gb,8192,1,81,75.0,256,32,24,True,21.660672187805176,0.12581512545900497
falcon_h1,a100-sxm4-80gb,8192,4,81,75.0,256,32,96,False,21.553664207458496,0.027537352149379177
falcon_h1,a100-sxm4-80gb,8192,16,81,75.0,256,32,384,False,37.624319076538086,0.09539291228270469
falcon_h1,a100-sxm4-80gb,8192,32,81,75.0,256,32,768,False,73.53036880493164,0.5200378273962529
falcon_h1,a100-sxm4-80gb,512,1,94,87.0,256,2,24,True,1.4412800073623657,0.008906798180322424
falcon_h1,a100-sxm4-80gb,512,4,94,87.0,256,2,96,False,1.4464000463485718,0.00785511246808202
falcon_h1,a100-sxm4-80gb,512,16,94,87.0,256,2,384,False,2.199552059173584,0.003740705451206537
falcon_h1,a100-sxm4-80gb,512,32,94,87.0,256,2,768,False,4.117503881454468,0.05876101886719914
falcon_h1,a100-sxm4-80gb,1024,1,94,87.0,256,4,24,True,2.7996160984039307,0.008269120923474255
falcon_h1,a100-sxm4-80gb,1024,4,94,87.0,256,4,96,False,2.793984055519104,0.029368328422246757
falcon_h1,a100-sxm4-80gb,1024,16,94,87.0,256,4,384,False,4.294143915176392,0.04695307540942215
