metric,batch,context_len,value,unit,value_kind,note
per_layer_ratio_with_weight,16,512,0.274607,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,1024,0.35036,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,2048,0.501867,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,4096,0.804882,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,8192,1.41091,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,16384,2.622967,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,32768,5.047081,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,65536,9.895308,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,131072,19.591763,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,512,0.240193,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,1024,0.34406,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,2048,0.551794,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,4096,0.967262,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,8192,1.798198,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,16384,3.46007,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,32768,6.783815,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,65536,13.431305,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,32,131072,26.726285,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
judgment_Lstar_layer,1,,21504.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,1,,101776.28,tokens,derived,smallest L with R>= 2.0; in_workload=False
judgment_Lstar_layer,4,,5376.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,4,,30094.07,tokens,derived,smallest L with R>= 2.0; in_workload=True
judgment_Lstar_layer,8,,2688.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,8,,18147.04,tokens,derived,smallest L with R>= 2.0; in_workload=True
judgment_Lstar_layer,16,,1344.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,16,,12173.52,tokens,derived,smallest L with R>= 2.0; in_workload=True
judgment_Lstar_layer,32,,672.0,tokens,derived,in_workload(<= 32768)=True
judgment_minL_R_ge_2,32,,9186.76,tokens,derived,smallest L with R>= 2.0; in_workload=True
