metric,batch,context_len,value,unit,value_kind,note
mixer_only_kv_over_state,16,65536,991.896216,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,16,131072,1983.792432,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,512,7.749189,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,1024,15.498378,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,2048,30.996757,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,4096,61.993514,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,8192,123.987027,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,16384,247.974054,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,32768,495.948108,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,65536,991.896216,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
mixer_only_kv_over_state,32,131072,1983.792432,ratio_kvbytes_over_statebytes,derived,kv_bytes/(state_bytes+conv_state_bytes); weight excluded
per_layer_ratio_with_weight,1,512,1.387242,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,1024,1.479724,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,2048,1.66469,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,4096,2.034621,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,8192,2.774483,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,16384,4.254207,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,32768,7.213656,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,65536,13.132553,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,1,131072,24.970348,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,512,1.607148,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,1024,1.964292,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,2048,2.67858,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,4096,4.107157,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,8192,6.964309,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,16384,12.678614,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,32768,24.107224,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,65536,46.964445,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,4,131072,92.678885,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,512,1.877751,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,1024,2.560569,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,2048,3.926206,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,4096,6.65748,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,8192,12.120027,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,16384,23.045123,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,32768,44.895313,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,65536,88.595693,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,8,131072,175.996455,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,512,2.353216,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,1024,3.608264,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,2048,6.118362,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,4096,11.138556,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,8192,21.178944,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,16384,41.25972,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,32768,81.421272,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
per_layer_ratio_with_weight,16,65536,161.744377,ratio_attn_over_ssm_bytes,derived,(attn_w+kv)/(ssm_w+state+conv)
