layer_type,model,sm_count,sm_ratio,total_sm,seq_len,batch_size,kernel_name,n_kernels_captured,grid_size,n_waves,last_wave_blocks,wave_efficiency_pct,sm_util_per_sm_pct,achieved_occupancy_pct,analytical_n_blocks,analytical_n_waves,analytical_wave_eff_pct,analytical_last_wave_blocks,analytical_wasted_sm_pct,error,_block_size_parsed,_grid_size_parsed,block_size_raw,gpu__time_duration.sum,gpu__time_duration.sum.unit,grid_size_raw,kernel_duration_ns,kernel_id,kernel_time_ns,ncu_stdout,sm__cycles_active.sum,sm__cycles_active.sum.unit,sm__cycles_elapsed.sum,sm__cycles_elapsed.sum.unit,smsp__warps_active.sum,smsp__warps_active.sum.unit,stderr,warps_active
mlp,zamba2,40,0.37037037037037035,108,4096,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,53,57344,1434,24,99.9721059972106,99.8130216721537,12.469903204841417,32768,820,99.90243902439025,8,0.09756097560975618,,256,57344,"(256, 1, 1)",48907488,ns,"(112, 512, 1)",48907488.0,13,,,7148113845,cycle,7161504306,cycle,57154089918,warp,,57154089918.0
mlp,zamba2,40,0.37037037037037035,108,4096,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,79,114688,2868,8,99.9721059972106,99.82011390127654,12.470772404033818,65536,1639,99.96339231238561,16,0.036607687614398365,,256,114688,"(256, 1, 1)",103214240,ns,"(112, 1024, 1)",103214240.0,49,,,14293441057,cycle,14319199306,cycle,114285744354,warp,,114285744354.0
mlp,zamba2,40,0.37037037037037035,108,8192,1,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,3584,90,24,99.55555555555556,97.57554620488865,12.190374348508321,2048,52,98.46153846153847,8,1.538461538461533,,256,3584,"(256, 1, 1)",3056128,ns,"(112, 32, 1)",3056128.0,13,,,447547978,cycle,458668176,cycle,3578455531,warp,,3578455531.0
mlp,zamba2,40,0.37037037037037035,108,8192,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,14336,359,16,99.83286908077994,99.60587309004177,12.444027488300016,8192,205,99.90243902439025,32,0.09756097560975618,,256,14336,"(256, 1, 1)",11953696,ns,"(112, 128, 1)",11953696.0,4,,,1786903392,cycle,1793973926,cycle,14287526943,warp,,14287526943.0
mlp,zamba2,40,0.37037037037037035,108,8192,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,53,57344,1434,24,99.9721059972106,99.67001969151273,12.452036818299739,32768,820,99.90243902439025,8,0.09756097560975618,,256,57344,"(256, 1, 1)",49113568,ns,"(112, 512, 1)",49113568.0,45,,,7145185041,cycle,7168840804,cycle,57130668567,warp,,57130668567.0
mlp,zamba2,40,0.37037037037037035,108,8192,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,79,114688,2868,8,99.9721059972106,99.8231356132475,12.471150080662738,65536,1639,99.96339231238561,16,0.036607687614398365,,256,114688,"(256, 1, 1)",100677888,ns,"(112, 1024, 1)",100677888.0,49,,,14292876980,cycle,14318200778,cycle,114281235704,warp,,114281235704.0
mlp,zamba2,40,0.37037037037037035,108,8192,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,132,229376,5735,16,99.98953792502179,99.8264054817302,12.471566656693254,131072,3277,99.99389685688129,32,0.006103143118707521,,256,229376,"(256, 1, 1)",204497184,ns,"(112, 2048, 1)",204497184.0,102,,,28583584270,cycle,28633290092,cycle,228545271029,warp,,228545271029.0
mlp,zamba2,40,0.37037037037037035,108,16384,1,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,7168,180,8,99.55555555555556,98.96719700120683,12.364234770031372,4096,103,99.41747572815534,16,0.5825242718446644,,256,7168,"(256, 1, 1)",6029600,ns,"(112, 64, 1)",6029600.0,1,,,893866579,cycle,903194802,cycle,7147080048,warp,,7147080048.0
mlp,zamba2,40,0.37037037037037035,108,16384,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,40,28672,717,32,99.9721059972106,99.63374792222969,12.44750542853532,16384,410,99.90243902439025,24,0.09756097560975618,,256,28672,"(256, 1, 1)",26052448,ns,"(112, 256, 1)",26052448.0,16,,,3573704477,cycle,3586841358,cycle,28574225456,warp,,28574225456.0
mlp,zamba2,40,0.37037037037037035,108,16384,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,79,114688,2868,8,99.9721059972106,99.82060920838676,12.470836777159446,65536,1639,99.96339231238561,16,0.036607687614398365,,256,114688,"(256, 1, 1)",99458464,ns,"(112, 1024, 1)",99458464.0,73,,,14294444585,cycle,14320133586,cycle,114293791090,warp,,114293791090.0
