"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,ssm_full,8,2048,256,256,0,54,ok,30,512,9.4815,1.29434,0.00097,131.342,6.441
falcon_h1_3b,verified,ssm_full,8,2048,512,512,0,54,ok,30,1024,18.963,2.46477,0.00758,112.419,5.513
falcon_h1_3b,verified,ssm_full,32,2048,256,256,0,54,ok,30,2048,37.9259,4.9024,0.00218,100.208,4.915
falcon_h1_3b,verified,ssm_full,32,2048,512,512,0,54,ok,30,4096,75.8519,9.70957,0.00289,94.711,4.645
falcon_h1_3b,verified,ssm_full,128,2048,256,256,0,54,ok,30,8192,151.7037,19.51693,0.00731,91.013,4.464
falcon_h1_3b,verified,ssm_full,128,2048,512,512,0,54,ok,30,16384,303.4074,38.55411,0.01385,90.513,4.439
falcon_h1_3b,verified,attn,1,2048,256,256,0,54,ok,30,40,0.7407,0.04813,0.00201,119.83,5.877
falcon_h1_3b,verified,attn,1,2048,256,256,4096,54,ok,30,40,0.7407,0.10854,0.00141,91.774,4.501
falcon_h1_3b,verified,attn,1,2048,512,512,0,54,ok,30,80,1.4815,0.06246,0.00133,184.656,9.056
falcon_h1_3b,verified,attn,1,2048,512,512,4096,54,ok,30,80,1.4815,0.18944,0.00177,83.027,4.072
falcon_h1_3b,verified,attn,8,2048,256,256,0,54,ok,30,320,5.9259,0.05939,0.00139,776.828,38.098
falcon_h1_3b,verified,attn,8,2048,256,256,4096,54,ok,30,320,5.9259,0.4823,0.00155,165.231,8.104
falcon_h1_3b,verified,attn,8,2048,512,512,0,54,ok,30,640,11.8519,0.11878,0.0028,776.828,38.098
falcon_h1_3b,verified,attn,8,2048,512,512,4096,54,ok,30,640,11.8519,0.95334,0.00089,131.987,6.473
falcon_h1_3b,verified,attn,32,2048,256,256,0,54,ok,30,1280,23.7037,0.13926,0.00177,1325.176,64.991
falcon_h1_3b,verified,attn,32,2048,256,256,4096,54,ok,30,1280,23.7037,1.76947,0.00105,180.148,8.835
falcon_h1_3b,verified,attn,32,2048,512,512,0,54,ok,30,2560,47.4074,0.34355,0.00287,1074.361,52.691
falcon_h1_3b,verified,attn,32,2048,512,512,4096,54,ok,30,2560,47.4074,3.69613,0.00188,136.174,6.678
falcon_h1_3b,verified,attn,128,2048,256,256,0,54,ok,30,5120,94.8148,0.44544,0.00179,1657.232,81.277
falcon_h1_3b,verified,attn,128,2048,256,256,4096,54,ok,30,5120,94.8148,6.94272,0.00225,183.655,9.007
falcon_h1_3b,verified,attn,128,2048,512,512,0,54,ok,30,10240,189.6296,1.24262,0.00291,1188.127,58.27
falcon_h1_3b,verified,attn,128,2048,512,512,4096,54,ok,30,10240,189.6296,14.49421,0.00685,138.901,6.812
