"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_2.7b,verified,ssm_full,32,2048,256,256,0,54,ok,30,2560,47.4074,5.75078,0.0242,101.789,4.992
zamba2_2.7b,verified,ssm_full,32,2048,512,512,0,54,ok,30,5120,94.8148,11.36947,0.00868,96.055,4.711
zamba2_2.7b,verified,ssm_full,128,2048,256,256,0,54,ok,30,10240,189.6296,22.78349,0.00798,92.415,4.532
zamba2_2.7b,verified,ssm_full,128,2048,512,512,0,54,ok,30,20480,379.2593,45.34016,0.02232,91.143,4.47
zamba2_2.7b,verified,attn,1,2048,256,256,0,54,ok,30,128,2.3704,0.0727,0.00133,324.507,15.915
zamba2_2.7b,verified,attn,1,2048,256,256,4096,54,ok,30,128,2.3704,0.33382,0.00116,321.963,15.79
zamba2_2.7b,verified,attn,1,2048,512,512,0,54,ok,30,256,4.7407,0.08192,0.00146,576.0,28.249
zamba2_2.7b,verified,attn,1,2048,512,512,4096,54,ok,30,256,4.7407,0.66765,0.00153,196.319,9.628
zamba2_2.7b,verified,attn,8,2048,256,256,0,54,ok,30,1024,18.963,0.1577,0.00166,1196.883,58.7
zamba2_2.7b,verified,attn,8,2048,256,256,4096,54,ok,30,1024,18.963,1.94253,0.00105,442.636,21.708
zamba2_2.7b,verified,attn,8,2048,512,512,0,54,ok,30,2048,37.9259,0.38707,0.00414,975.238,47.829
zamba2_2.7b,verified,attn,8,2048,512,512,4096,54,ok,30,2048,37.9259,3.84717,0.0011,272.558,13.367
zamba2_2.7b,verified,attn,32,2048,256,256,0,54,ok,30,4096,75.8519,0.51507,0.00174,1465.765,71.886
zamba2_2.7b,verified,attn,32,2048,256,256,4096,54,ok,30,4096,75.8519,7.2279,0.00276,475.84,23.337
zamba2_2.7b,verified,attn,32,2048,512,512,0,54,ok,30,8192,151.7037,1.40595,0.00281,1073.969,52.671
zamba2_2.7b,verified,attn,32,2048,512,512,4096,54,ok,30,8192,151.7037,15.20538,0.00197,275.843,13.528
zamba2_2.7b,verified,attn,128,2048,256,256,0,54,ok,30,16384,303.4074,1.93741,0.00168,1558.732,76.446
zamba2_2.7b,verified,attn,128,2048,256,256,4096,54,ok,30,16384,303.4074,28.71194,0.01123,479.15,23.499
zamba2_2.7b,verified,attn,128,2048,512,512,0,54,ok,30,32768,606.8148,5.47021,0.00289,1104.126,54.15
zamba2_2.7b,verified,attn,128,2048,512,512,4096,54,ok,30,32768,606.8148,60.60544,0.00999,276.827,13.577
zamba2_2.7b,verified,ssm,1,2048,256,256,0,68,ok,30,80,1.1765,0.49971,0.00918,10.706,0.525
zamba2_2.7b,verified,ssm,1,2048,512,512,0,68,ok,30,160,2.3529,0.52582,0.00714,20.348,0.998
zamba2_2.7b,verified,ssm,8,2048,256,256,0,68,ok,30,640,9.4118,0.65382,0.00757,65.454,3.21
zamba2_2.7b,verified,ssm,8,2048,512,512,0,68,ok,30,1280,18.8235,0.82944,0.00584,103.191,5.061
zamba2_2.7b,verified,ssm,32,2048,256,256,0,68,ok,30,2560,37.6471,1.17965,0.0053,145.112,7.117
zamba2_2.7b,verified,ssm,32,2048,512,512,0,68,ok,30,5120,75.2941,1.96813,0.003,173.952,8.531
zamba2_2.7b,verified,ssm,128,2048,256,256,0,68,ok,30,10240,150.5882,3.85741,0.00555,177.508,8.706
zamba2_2.7b,verified,ssm,128,2048,512,512,0,68,ok,30,20480,301.1765,7.4921,0.06692,182.785,8.964
zamba2_2.7b,verified,ssm_full,1,2048,256,256,0,68,ok,30,80,1.1765,0.6313,0.00798,149.659,7.34
zamba2_2.7b,verified,ssm_full,1,2048,512,512,0,68,ok,30,160,2.3529,0.69325,0.00505,159.126,7.804
zamba2_2.7b,verified,ssm_full,8,2048,256,256,0,68,ok,30,640,9.4118,1.28307,0.0013,160.026,7.848
zamba2_2.7b,verified,ssm_full,8,2048,512,512,0,68,ok,30,1280,18.8235,2.3511,0.00148,141.213,6.926
zamba2_2.7b,verified,ssm_full,32,2048,256,256,0,68,ok,30,2560,37.6471,4.64794,0.00178,125.942,6.177
zamba2_2.7b,verified,ssm_full,32,2048,512,512,0,68,ok,30,5120,75.2941,9.09926,0.00829,120.02,5.886
zamba2_2.7b,verified,ssm_full,128,2048,256,256,0,68,ok,30,10240,150.5882,18.19802,0.00602,115.702,5.674
zamba2_2.7b,verified,ssm_full,128,2048,512,512,0,68,ok,30,20480,301.1765,36.31923,0.01054,113.781,5.58
zamba2_2.7b,verified,attn,1,2048,256,256,0,68,ok,30,128,1.8824,0.06554,0.00102,360.0,17.656
zamba2_2.7b,verified,attn,1,2048,256,256,4096,68,ok,30,128,1.8824,0.26317,0.00134,408.405,20.03
zamba2_2.7b,verified,attn,1,2048,512,512,0,68,ok,30,256,3.7647,0.0768,0.00096,614.4,30.132
zamba2_2.7b,verified,attn,1,2048,512,512,4096,68,ok,30,256,3.7647,0.44339,0.00159,295.612,14.498
zamba2_2.7b,verified,attn,8,2048,256,256,0,68,ok,30,1024,15.0588,0.13517,0.00234,1396.364,68.483
zamba2_2.7b,verified,attn,8,2048,256,256,4096,68,ok,30,1024,15.0588,1.56672,0.00098,548.81,26.916
zamba2_2.7b,verified,attn,8,2048,512,512,0,68,ok,30,2048,30.1176,0.32102,0.00375,1175.885,57.67
zamba2_2.7b,verified,attn,8,2048,512,512,4096,68,ok,30,2048,30.1176,3.24096,0.0017,323.539,15.868
zamba2_2.7b,verified,attn,32,2048,256,256,0,68,ok,30,4096,60.2353,0.42854,0.00199,1761.72,86.401
zamba2_2.7b,verified,attn,32,2048,256,256,4096,68,ok,30,4096,60.2353,5.89824,0.00157,583.111,28.598
zamba2_2.7b,verified,attn,32,2048,512,512,0,68,ok,30,8192,120.4706,1.14074,0.0025,1323.662,64.917
zamba2_2.7b,verified,attn,32,2048,512,512,4096,68,ok,30,8192,120.4706,12.2071,0.01339,343.595,16.851
zamba2_2.7b,verified,attn,128,2048,256,256,0,68,ok,30,16384,240.9412,1.59027,0.00195,1898.983,93.133
zamba2_2.7b,verified,attn,128,2048,256,256,4096,68,ok,30,16384,240.9412,22.86694,0.00713,601.625,29.506
zamba2_2.7b,verified,attn,128,2048,512,512,0,68,ok,30,32768,481.8824,4.40422,0.00389,1371.365,67.257
zamba2_2.7b,verified,attn,128,2048,512,512,4096,68,ok,30,32768,481.8824,48.11366,0.01827,348.7,17.102
zamba2_2.7b,verified,ssm,1,2048,256,256,0,81,ok,30,80,0.9877,0.512,0.00944,10.449,0.512
zamba2_2.7b,verified,ssm,1,2048,512,512,0,81,ok,30,160,1.9753,0.52326,0.00637,20.447,1.003
zamba2_2.7b,verified,ssm,8,2048,256,256,0,81,ok,30,640,7.9012,0.62874,0.00723,68.066,3.338
zamba2_2.7b,verified,ssm,8,2048,512,512,0,81,ok,30,1280,15.8025,0.76186,0.00542,112.345,5.51
zamba2_2.7b,verified,ssm,32,2048,256,256,0,81,ok,30,2560,31.6049,1.03475,0.00758,165.431,8.113
zamba2_2.7b,verified,ssm,32,2048,512,512,0,81,ok,30,5120,63.2099,1.63584,0.00345,209.287,10.264
zamba2_2.7b,verified,ssm,128,2048,256,256,0,81,ok,30,10240,126.4198,3.23072,0.00585,211.941,10.394
zamba2_2.7b,verified,ssm,128,2048,512,512,0,81,ok,30,20480,252.8395,6.23923,0.00459,219.489,10.765
zamba2_2.7b,verified,ssm_full,1,2048,256,256,0,81,ok,30,80,0.9877,0.60979,0.00756,154.936,7.599
zamba2_2.7b,verified,ssm_full,1,2048,512,512,0,81,ok,30,160,1.9753,0.63283,0.0063,174.318,8.549
zamba2_2.7b,verified,ssm_full,8,2048,256,256,0,81,ok,30,640,7.9012,0.99738,0.00125,205.865,10.096
zamba2_2.7b,verified,ssm_full,8,2048,512,512,0,81,ok,30,1280,15.8025,1.95379,0.00105,169.929,8.334
zamba2_2.7b,verified,ssm_full,32,2048,256,256,0,81,ok,30,2560,31.6049,3.84819,0.00183,152.115,7.46
zamba2_2.7b,verified,ssm_full,32,2048,512,512,0,81,ok,30,5120,63.2099,7.56019,0.02163,144.453,7.085
zamba2_2.7b,verified,ssm_full,128,2048,256,256,0,81,ok,30,10240,126.4198,15.3088,0.06629,137.538,6.745
zamba2_2.7b,verified,ssm_full,128,2048,512,512,0,81,ok,30,20480,252.8395,30.52032,0.14037,135.4,6.64
zamba2_2.7b,verified,attn,1,2048,256,256,0,81,ok,30,128,1.5802,0.06246,0.00114,377.705,18.524
zamba2_2.7b,verified,attn,1,2048,256,256,4096,81,ok,30,128,1.5802,0.23552,0.002,456.348,22.381
zamba2_2.7b,verified,attn,1,2048,512,512,0,81,ok,30,256,3.1605,0.06656,0.00093,708.923,34.768
zamba2_2.7b,verified,attn,1,2048,512,512,4096,81,ok,30,256,3.1605,0.44749,0.00197,292.906,14.365
zamba2_2.7b,verified,attn,8,2048,256,256,0,81,ok,30,1024,12.642,0.1239,0.00184,1523.306,74.708
zamba2_2.7b,verified,attn,8,2048,256,256,4096,81,ok,30,1024,12.642,1.39674,0.00709,615.601,30.191
zamba2_2.7b,verified,attn,8,2048,512,512,0,81,ok,30,2048,25.284,0.27955,0.00274,1350.33,66.225
zamba2_2.7b,verified,attn,8,2048,512,512,4096,81,ok,30,2048,25.284,2.65216,0.00092,395.367,19.39
zamba2_2.7b,verified,attn,32,2048,256,256,0,81,ok,30,4096,50.5679,0.37683,0.00183,2003.478,98.258
zamba2_2.7b,verified,attn,32,2048,256,256,4096,81,ok,30,4096,50.5679,4.90701,0.00902,700.901,34.375
zamba2_2.7b,verified,attn,32,2048,512,512,0,81,ok,30,8192,101.1358,0.98509,0.00644,1532.807,75.174
zamba2_2.7b,verified,attn,32,2048,512,512,4096,81,ok,30,8192,101.1358,10.03418,0.00167,418.002,20.5
zamba2_2.7b,verified,attn,128,2048,256,256,0,81,ok,30,16384,202.2716,1.3824,0.00204,2184.533,107.137
zamba2_2.7b,verified,attn,128,2048,256,256,4096,81,ok,30,16384,202.2716,19.36947,0.0153,710.258,34.834
zamba2_2.7b,verified,attn,128,2048,512,512,0,81,ok,30,32768,404.5432,3.74477,0.01781,1612.863,79.101
zamba2_2.7b,verified,attn,128,2048,512,512,4096,81,ok,30,32768,404.5432,40.2048,0.34204,417.294,20.466
zamba2_2.7b,verified,ssm,1,2048,256,256,0,94,ok,30,80,0.8511,0.50995,0.00853,10.491,0.515
zamba2_2.7b,verified,ssm,1,2048,512,512,0,94,ok,30,160,1.7021,0.52173,0.00716,20.507,1.006
zamba2_2.7b,verified,ssm,8,2048,256,256,0,94,ok,30,640,6.8085,0.61235,0.00676,69.887,3.428
zamba2_2.7b,verified,ssm,8,2048,512,512,0,94,ok,30,1280,13.617,0.73062,0.00518,117.147,5.745
zamba2_2.7b,verified,ssm,32,2048,256,256,0,94,ok,30,2560,27.234,0.9728,0.00428,175.967,8.63
zamba2_2.7b,verified,ssm,32,2048,512,512,0,94,ok,30,5120,54.4681,1.4807,0.00307,231.215,11.34
zamba2_2.7b,verified,ssm,128,2048,256,256,0,94,ok,30,10240,108.9362,3.01414,0.00407,227.169,11.141
zamba2_2.7b,verified,ssm,128,2048,512,512,0,94,ok,30,20480,217.8723,5.90643,0.01503,231.856,11.371
zamba2_2.7b,verified,ssm_full,1,2048,256,256,0,94,ok,30,80,0.8511,0.60621,0.00758,155.852,7.644
zamba2_2.7b,verified,ssm_full,1,2048,512,512,0,94,ok,30,160,1.7021,0.62925,0.00579,175.311,8.598
zamba2_2.7b,verified,ssm_full,8,2048,256,256,0,94,ok,30,640,6.8085,0.91238,0.00169,225.042,11.037
zamba2_2.7b,verified,ssm_full,8,2048,512,512,0,94,ok,30,1280,13.617,1.78074,0.00311,186.443,9.144
zamba2_2.7b,verified,ssm_full,32,2048,256,256,0,94,ok,30,2560,27.234,3.45702,0.00609,169.327,8.304
zamba2_2.7b,verified,ssm_full,32,2048,512,512,0,94,ok,30,5120,54.4681,6.78093,0.00121,161.054,7.899
zamba2_2.7b,verified,ssm_full,128,2048,256,256,0,94,ok,30,10240,108.9362,13.95456,0.12079,150.886,7.4
zamba2_2.7b,verified,ssm_full,128,2048,512,512,0,94,ok,30,20480,217.8723,27.79238,0.11387,148.69,7.292
zamba2_2.7b,verified,attn,1,2048,256,256,0,94,ok,30,128,1.3617,0.06144,0.0014,384.0,18.833
zamba2_2.7b,verified,attn,1,2048,256,256,4096,94,ok,30,128,1.3617,0.23654,0.00312,454.372,22.284
zamba2_2.7b,verified,attn,1,2048,512,512,0,94,ok,30,256,2.7234,0.06963,0.00131,677.647,33.234
zamba2_2.7b,verified,attn,1,2048,512,512,4096,94,ok,30,256,2.7234,0.44851,0.00213,292.237,14.332
