"# value_kind: measured=bw_util_pct_at_sat; derived=grid_sat_sm_e0,sat_sm_point,sat_sm_ci_low,sat_sm_ci_high; metadata=model,config_status,layer_type,batch,chunk_granularity,context_len,n_sm_points,min_n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,chunk_granularity__metadata,context_len__metadata,n_sm_points__metadata,min_n_measure__metadata,grid_sat_sm_e0__derived,sat_sm_point__derived,sat_sm_ci_low__derived,sat_sm_ci_high__derived,bw_util_pct_at_sat__measured
falcon_h1_3b,verified,attn,128,256,4096,8,30,8192,108,108,108,15.957
falcon_h1_3b,verified,attn,128,512,0,8,30,16384,108,108,108,99.593
falcon_h1_3b,verified,attn,128,512,4096,8,30,16384,108,108,108,12.155
falcon_h1_3b,verified,attn,256,256,0,8,30,16384,94,94,94,129.507
falcon_h1_3b,verified,attn,256,256,4096,8,30,16384,108,108,108,16.058
falcon_h1_3b,verified,attn,256,512,0,8,30,32768,108,108,108,102.591
falcon_h1_3b,verified,attn,256,512,4096,8,30,32768,108,108,108,12.364
falcon_h1_3b,verified,attn,512,256,0,8,30,32768,94,94,108,137.036
falcon_h1_3b,verified,attn,512,256,4096,8,30,32768,108,108,108,16.098
falcon_h1_3b,verified,attn,512,512,0,8,30,65536,108,108,108,106.033
falcon_h1_3b,verified,attn,512,512,4096,8,30,65536,108,108,108,12.428
