"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=n_blocks_per_call,waves,bw_util_pct; metadata=model,config_status,layer_type,batch,seq,chunk_granularity,tokens_per_call,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,seq__metadata,chunk_granularity__metadata,tokens_per_call__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,n_blocks_per_call__derived,waves__derived,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm,8,2048,512,512,0,68,ok,30,1536,22.5882,0.69734,0.00528,78.755,3.862
falcon_h1_1.5b,verified,ssm,32,2048,256,256,0,68,ok,30,3072,45.1765,1.16019,0.00451,94.673,4.643
falcon_h1_1.5b,verified,ssm,32,2048,512,512,0,68,ok,30,6144,90.3529,2.08384,0.0049,105.419,5.17
falcon_h1_1.5b,verified,ssm,128,2048,256,256,0,68,ok,30,12288,180.7059,4.29568,0.00631,102.278,5.016
falcon_h1_1.5b,verified,ssm,128,2048,512,512,0,68,ok,30,24576,361.4118,8.24064,0.00736,106.631,5.23
falcon_h1_1.5b,verified,ssm_full,1,2048,256,256,0,68,ok,30,96,1.4118,0.58266,0.00716,82.377,4.04
falcon_h1_1.5b,verified,ssm_full,1,2048,512,512,0,68,ok,30,192,2.8235,0.60058,0.00581,96.983,4.756
falcon_h1_1.5b,verified,ssm_full,8,2048,256,256,0,68,ok,30,768,11.2941,0.78387,0.00552,152.748,7.491
falcon_h1_1.5b,verified,ssm_full,8,2048,512,512,0,68,ok,30,1536,22.5882,1.45306,0.00154,138.825,6.808
falcon_h1_1.5b,verified,ssm_full,32,2048,256,256,0,68,ok,30,3072,45.1765,2.8247,0.00249,129.462,6.349
falcon_h1_1.5b,verified,ssm_full,32,2048,512,512,0,68,ok,30,6144,90.3529,5.5552,0.00316,124.862,6.124
falcon_h1_1.5b,verified,ssm_full,128,2048,256,256,0,68,ok,30,12288,180.7059,11.25376,0.00373,119.917,5.881
falcon_h1_1.5b,verified,ssm_full,128,2048,512,512,0,68,ok,30,24576,361.4118,22.17984,0.00783,119.987,5.885
falcon_h1_1.5b,verified,attn,1,2048,256,256,0,68,ok,30,32,0.4706,0.04045,0.00155,116.658,5.721
falcon_h1_1.5b,verified,attn,1,2048,256,256,4096,68,ok,30,32,0.4706,0.09114,0.00081,97.798,4.796
falcon_h1_1.5b,verified,attn,1,2048,512,512,0,68,ok,30,64,0.9412,0.05222,0.0023,180.706,8.862
falcon_h1_1.5b,verified,attn,1,2048,512,512,4096,68,ok,30,64,0.9412,0.12698,0.00144,107.355,5.265
falcon_h1_1.5b,verified,attn,8,2048,256,256,0,68,ok,30,256,3.7647,0.04608,0.0006,819.2,40.177
falcon_h1_1.5b,verified,attn,8,2048,256,256,4096,68,ok,30,256,3.7647,0.32102,0.00153,222.112,10.893
falcon_h1_1.5b,verified,attn,8,2048,512,512,0,68,ok,30,512,7.5294,0.09114,0.00255,828.404,40.628
falcon_h1_1.5b,verified,attn,8,2048,512,512,4096,68,ok,30,512,7.5294,0.64666,0.00214,168.64,8.271
falcon_h1_1.5b,verified,attn,32,2048,256,256,0,68,ok,30,1024,15.0588,0.1024,0.00137,1474.56,72.318
falcon_h1_1.5b,verified,attn,32,2048,256,256,4096,68,ok,30,1024,15.0588,1.19398,0.00087,238.875,11.715
falcon_h1_1.5b,verified,attn,32,2048,512,512,0,68,ok,30,2048,30.1176,0.23501,0.0025,1285.02,63.022
