"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
zamba2_7b,,ssm,2,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,16,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,32,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,64,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,128,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,256,4096,81,failed:OSError,0,,,,
zamba2_7b,,ssm,512,4096,81,failed:OSError,0,,,,
zamba2_7b,verified,attn,1,4096,94,ok,30,0.13722,0.002,856.821,42.022
zamba2_7b,verified,attn,2,4096,94,ok,30,0.2304,0.00114,1020.569,50.052
zamba2_7b,verified,attn,4,4096,94,ok,30,0.36762,0.00157,1279.265,62.74
zamba2_7b,verified,attn,8,4096,94,ok,30,0.96051,0.00071,979.224,48.025
zamba2_7b,verified,attn,16,4096,94,ok,30,1.89491,0.00178,992.718,48.686
zamba2_7b,verified,attn,32,4096,94,ok,30,3.46112,0.0098,1086.996,53.31
zamba2_7b,verified,attn,64,4096,94,ok,30,6.96832,0.002,1079.808,52.958
zamba2_7b,verified,attn,128,4096,94,ok,30,13.92282,0.04554,1080.88,53.01
zamba2_7b,verified,attn,256,4096,94,ok,30,28.08218,0.23393,1071.776,52.564
zamba2_7b,,attn,512,4096,94,failed:oom,0,,,,
zamba2_7b,,ssm,1,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,2,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,4,4096,94,failed:OSError,0,,,,
zamba2_7b,,ssm,8,4096,94,failed:OSError,0,,,,
