"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_1.5b,verified,ssm,256,4096,54,ok,30,3.52512,0.01564,0.974,0.048
falcon_h1_1.5b,verified,ssm,256,16384,54,ok,30,3.52563,0.00745,0.974,0.048
falcon_h1_1.5b,verified,ssm,512,1024,54,ok,30,6.88538,0.049,0.997,0.049
falcon_h1_1.5b,verified,ssm,512,4096,54,ok,30,6.87923,0.03235,0.998,0.049
falcon_h1_1.5b,verified,ssm,512,16384,54,ok,30,6.88589,0.06994,0.997,0.049
falcon_h1_1.5b,verified,attn,1,1024,54,ok,30,0.04198,0.01828,25.415,1.246
falcon_h1_1.5b,verified,attn,1,4096,54,ok,30,0.05632,0.00082,74.8,3.668
falcon_h1_1.5b,verified,attn,1,16384,54,ok,30,0.09523,0.0017,176.366,8.65
falcon_h1_1.5b,verified,attn,2,1024,54,ok,30,0.04506,0.00159,47.364,2.323
falcon_h1_1.5b,verified,attn,2,4096,54,ok,30,0.06656,0.00203,126.585,6.208
falcon_h1_1.5b,verified,attn,2,16384,54,ok,30,0.13824,0.00239,242.993,11.917
falcon_h1_1.5b,verified,attn,4,1024,54,ok,30,0.05325,0.00129,80.154,3.931
falcon_h1_1.5b,verified,attn,4,4096,54,ok,30,0.09216,0.00172,182.844,8.967
falcon_h1_1.5b,verified,attn,4,16384,54,ok,30,0.22835,0.0014,294.206,14.429
falcon_h1_1.5b,verified,attn,8,1024,54,ok,30,0.06451,0.0013,132.317,6.489
falcon_h1_1.5b,verified,attn,8,4096,54,ok,30,0.13312,0.00147,253.169,12.416
falcon_h1_1.5b,verified,attn,8,16384,54,ok,30,0.40346,0.00138,333.036,16.333
falcon_h1_1.5b,verified,attn,16,1024,54,ok,30,0.09677,0.00174,176.423,8.652
falcon_h1_1.5b,verified,attn,16,4096,54,ok,30,0.22938,0.00195,293.857,14.412
falcon_h1_1.5b,verified,attn,16,16384,54,ok,30,0.76698,0.00239,350.377,17.184
falcon_h1_1.5b,verified,attn,32,1024,54,ok,30,0.22221,0.00119,153.659,7.536
falcon_h1_1.5b,verified,attn,32,4096,54,ok,30,0.75981,0.00111,177.423,8.701
falcon_h1_1.5b,verified,attn,32,16384,54,ok,30,2.91072,0.01571,184.649,9.056
falcon_h1_1.5b,verified,attn,64,1024,54,ok,30,0.40755,0.0014,167.558,8.218
falcon_h1_1.5b,verified,attn,64,4096,54,ok,30,1.44384,0.00095,186.735,9.158
falcon_h1_1.5b,verified,attn,64,16384,54,ok,30,5.60435,0.02096,191.801,9.407
falcon_h1_1.5b,verified,attn,128,1024,54,ok,30,0.75366,0.00178,181.217,8.888
falcon_h1_1.5b,verified,attn,128,4096,54,ok,30,2.71974,0.00631,198.265,9.724
falcon_h1_1.5b,verified,attn,128,16384,54,ok,30,10.58765,0.01999,203.052,9.958
falcon_h1_1.5b,verified,attn,256,1024,54,ok,30,1.47354,0.00203,185.373,9.091
falcon_h1_1.5b,verified,attn,256,4096,54,ok,30,5.38829,0.01344,200.149,9.816
falcon_h1_1.5b,verified,attn,256,16384,54,ok,30,21.05549,0.03859,204.207,10.015
falcon_h1_1.5b,verified,attn,512,1024,54,ok,30,2.91328,0.00612,187.523,9.197
falcon_h1_1.5b,verified,attn,512,4096,54,ok,30,10.72333,0.03454,201.143,9.865
falcon_h1_1.5b,verified,attn,512,16384,54,ok,30,41.9927,0.07122,204.783,10.043
falcon_h1_1.5b,verified,ssm,1,1024,68,ok,30,0.52224,0.00959,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,4096,68,ok,30,0.51968,0.00723,0.026,0.001
falcon_h1_1.5b,verified,ssm,1,16384,68,ok,30,0.52326,0.01408,0.026,0.001
falcon_h1_1.5b,verified,ssm,2,1024,68,ok,30,0.51917,0.00674,0.052,0.003
falcon_h1_1.5b,verified,ssm,2,4096,68,ok,30,0.51661,0.00829,0.052,0.003
falcon_h1_1.5b,verified,ssm,2,16384,68,ok,30,0.52019,0.03564,0.052,0.003
falcon_h1_1.5b,verified,ssm,4,1024,68,ok,30,0.51251,0.00874,0.105,0.005
falcon_h1_1.5b,verified,ssm,4,4096,68,ok,30,0.512,0.00766,0.105,0.005
falcon_h1_1.5b,verified,ssm,4,16384,68,ok,30,0.5161,0.05757,0.104,0.005
