"# value_kind: measured=latency_ms,latency_std_ms,achieved_bw_gbs; derived=bw_util_pct; metadata=model,config_status,layer_type,batch,context_len,sm_count,status,n_measure"
model__metadata,config_status__metadata,layer_type__metadata,batch__metadata,context_len__metadata,sm_count__metadata,status__metadata,n_measure__metadata,latency_ms__measured,latency_std_ms__measured,achieved_bw_gbs__measured,bw_util_pct__derived
falcon_h1_3b,verified,attn,32,4096,81,ok,30,0.60314,0.00139,223.728,10.972
falcon_h1_3b,verified,attn,32,16384,81,ok,30,2.31987,0.02287,231.733,11.365
falcon_h1_3b,verified,attn,128,1024,81,ok,30,0.65434,0.00152,209.527,10.276
falcon_h1_3b,verified,attn,128,4096,81,ok,30,2.33062,0.00415,231.592,11.358
falcon_h1_3b,verified,attn,128,16384,81,ok,30,9.19552,0.0365,233.849,11.469
falcon_h1_3b,verified,attn,256,1024,81,ok,30,1.28102,0.0051,214.05,10.498
falcon_h1_3b,verified,attn,256,4096,81,ok,30,4.69043,0.0425,230.151,11.287
falcon_h1_3b,verified,attn,256,16384,81,ok,30,18.44224,0.12921,233.2,11.437
falcon_h1_3b,verified,ssm,8,1024,94,ok,30,0.512,0.00854,0.273,0.013
falcon_h1_3b,verified,ssm,8,4096,94,ok,30,0.50176,0.00672,0.279,0.014
falcon_h1_3b,verified,ssm,8,16384,94,ok,30,0.50074,0.00695,0.28,0.014
falcon_h1_3b,verified,ssm,32,1024,94,ok,30,0.59085,0.00599,0.947,0.046
falcon_h1_3b,verified,ssm,32,4096,94,ok,30,0.59136,0.00479,0.946,0.046
falcon_h1_3b,verified,ssm,32,16384,94,ok,30,0.58675,0.00459,0.953,0.047
falcon_h1_3b,verified,ssm,128,1024,94,ok,30,1.72032,0.00394,1.3,0.064
falcon_h1_3b,verified,ssm,128,4096,94,ok,30,1.72134,0.00457,1.299,0.064
falcon_h1_3b,verified,ssm,128,16384,94,ok,30,1.71827,0.00394,1.302,0.064
falcon_h1_3b,verified,ssm,256,1024,94,ok,30,3.2425,0.00552,1.38,0.068
falcon_h1_3b,verified,ssm,256,4096,94,ok,30,3.24403,0.00508,1.379,0.068
falcon_h1_3b,verified,ssm,256,16384,94,ok,30,3.24403,0.00486,1.379,0.068
falcon_h1_3b,verified,attn,8,1024,94,ok,30,0.06451,0.00216,132.825,6.514
falcon_h1_3b,verified,attn,8,4096,94,ok,30,0.14285,0.00282,236.158,11.582
falcon_h1_3b,verified,attn,8,16384,94,ok,30,0.46899,0.01556,286.568,14.054
falcon_h1_3b,verified,attn,32,1024,94,ok,30,0.18022,0.0016,190.182,9.327
falcon_h1_3b,verified,attn,32,4096,94,ok,30,0.60211,0.00164,224.109,10.991
falcon_h1_3b,verified,attn,32,16384,94,ok,30,2.33267,0.00918,230.462,11.303
falcon_h1_3b,verified,attn,128,1024,94,ok,30,0.57651,0.00167,237.812,11.663
falcon_h1_3b,verified,attn,128,4096,94,ok,30,2.14221,0.01149,251.962,12.357
falcon_h1_3b,verified,attn,128,16384,94,ok,30,8.39219,0.17775,256.234,12.567
falcon_h1_3b,verified,attn,256,1024,94,ok,30,1.16019,0.00626,236.342,11.591
falcon_h1_3b,verified,attn,256,4096,94,ok,30,4.26189,0.01442,253.294,12.422
falcon_h1_3b,verified,attn,256,16384,94,ok,30,16.78899,0.29227,256.164,12.563
