model,device,seq_len,batch_size,sm_count,sm_ratio_pct,prefill_chunk_tokens,n_kernel_calls,n_blocks_per_call,cooperative_safe,latency_ms,latency_std_ms
zamba2,a100-80gb,1024,1,54,50.0,512,2,224,False,1.1458560228347778,0.0056459586102276
zamba2,a100-80gb,1024,4,54,50.0,512,2,896,False,1.361407995223999,0.00710761917514454
zamba2,a100-80gb,1024,16,54,50.0,512,2,3584,False,3.140608072280884,0.007416398088353049
zamba2,a100-80gb,1024,32,54,50.0,512,2,7168,False,5.946368217468262,0.0035863405324670994
zamba2,a100-80gb,2048,1,54,50.0,512,4,224,False,2.13862407207489,0.010358188481162456
zamba2,a100-80gb,2048,4,54,50.0,512,4,896,False,2.3720959424972534,0.012235315436760477
zamba2,a100-80gb,2048,16,54,50.0,512,4,3584,False,6.015487909317017,0.0051810628145166114
zamba2,a100-80gb,2048,32,54,50.0,512,4,7168,False,11.651072025299072,0.004349872389060118
zamba2,a100-80gb,4096,1,54,50.0,512,8,224,False,4.123136043548584,0.01749676614276513
zamba2,a100-80gb,4096,4,54,50.0,512,8,896,False,4.374527931213379,0.018426060630874645
zamba2,a100-80gb,4096,16,54,50.0,512,8,3584,False,11.762688159942627,0.005266945951288599
zamba2,a100-80gb,4096,32,54,50.0,512,8,7168,False,23.07020854949951,0.004789531197522297
zamba2,a100-80gb,8192,1,54,50.0,512,16,224,False,8.117760181427002,0.0404826743097086
zamba2,a100-80gb,8192,4,54,50.0,512,16,896,False,8.36300802230835,0.018852246007585644
zamba2,a100-80gb,8192,16,54,50.0,512,16,3584,False,23.25759983062744,0.005873247457113758
zamba2,a100-80gb,8192,32,54,50.0,512,16,7168,False,45.90438461303711,0.00716308738682767
zamba2,a100-80gb,512,1,68,63.0,512,1,224,False,0.6282240152359009,0.007241577157407779
zamba2,a100-80gb,512,4,68,63.0,512,1,896,False,0.8043519854545593,0.010137657324757314
zamba2,a100-80gb,512,16,68,63.0,512,1,3584,False,1.4847999811172485,0.004773803879115186
zamba2,a100-80gb,512,32,68,63.0,512,1,7168,False,2.56768000125885,0.003794820554167871
zamba2,a100-80gb,1024,1,68,63.0,512,2,224,False,1.1427839994430542,0.011765366834979082
zamba2,a100-80gb,1024,4,68,63.0,512,2,896,False,1.316864013671875,0.0047981462709678945
zamba2,a100-80gb,1024,16,68,63.0,512,2,3584,False,2.6598399877548218,0.005960198461371456
zamba2,a100-80gb,1024,32,68,63.0,512,2,7168,False,4.897791862487793,0.007909148807720149
zamba2,a100-80gb,2048,1,68,63.0,512,4,224,False,2.137600064277649,0.01197344036869666
zamba2,a100-80gb,2048,4,68,63.0,512,4,896,False,2.3229440450668335,0.00848815143909606
zamba2,a100-80gb,2048,16,68,63.0,512,4,3584,False,5.001728057861328,0.006382007472213205
zamba2,a100-80gb,2048,32,68,63.0,512,4,7168,False,9.561599731445312,0.004241503238906222
zamba2,a100-80gb,4096,1,68,63.0,512,8,224,False,4.143103837966919,0.021003833777949354
zamba2,a100-80gb,4096,4,68,63.0,512,8,896,False,4.345344066619873,0.0164195363510137
zamba2,a100-80gb,4096,16,68,63.0,512,8,3584,False,9.702400207519531,0.0075749664278714915
zamba2,a100-80gb,4096,32,68,63.0,512,8,7168,False,18.883583068847656,0.004318895451752542
zamba2,a100-80gb,8192,1,68,63.0,512,16,224,False,8.131584167480469,0.03319184377495126
zamba2,a100-80gb,8192,4,68,63.0,512,16,896,False,8.388096332550049,0.016702712334572743
zamba2,a100-80gb,8192,16,68,63.0,512,16,3584,False,19.091455459594727,0.005587812977133974
zamba2,a100-80gb,8192,32,68,63.0,512,16,7168,False,37.52191925048828,0.0062160468858265434
zamba2,a100-80gb,512,1,81,75.0,512,1,224,False,0.6195200085639954,0.008022426731779912
zamba2,a100-80gb,512,4,81,75.0,512,1,896,False,0.7618559896945953,0.00811268468459335
zamba2,a100-80gb,512,16,81,75.0,512,1,3584,False,1.3286399841308594,0.0065265270599463914
zamba2,a100-80gb,512,32,81,75.0,512,1,7168,False,2.2379519939422607,0.0036825303698247293
zamba2,a100-80gb,1024,1,81,75.0,512,2,224,False,1.126911997795105,0.0054655952839029335
zamba2,a100-80gb,1024,4,81,75.0,512,2,896,False,1.2789759635925293,0.004765242966318619
zamba2,a100-80gb,1024,16,81,75.0,512,2,3584,False,2.341887950897217,0.007123955679346078
zamba2,a100-80gb,1024,32,81,75.0,512,2,7168,False,4.240895986557007,0.003420198267302829
zamba2,a100-80gb,2048,1,81,75.0,512,4,224,False,2.123263955116272,0.014272859196080089
zamba2,a100-80gb,2048,4,81,75.0,512,4,896,False,2.2968320846557617,0.012548829327268736
zamba2,a100-80gb,2048,16,81,75.0,512,4,3584,False,4.357119798660278,0.005893193263327703
zamba2,a100-80gb,2048,32,81,75.0,512,4,7168,False,8.242688179016113,0.005470917488559041
zamba2,a100-80gb,4096,1,81,75.0,512,8,224,False,4.145151853561401,0.016436916063833667
zamba2,a100-80gb,4096,4,81,75.0,512,8,896,False,4.314624071121216,0.023723331425402054
zamba2,a100-80gb,4096,16,81,75.0,512,8,3584,False,8.393727779388428,0.005876519122906702
zamba2,a100-80gb,4096,32,81,75.0,512,8,7168,False,16.246784210205078,0.006133833334852354
zamba2,a100-80gb,8192,1,81,75.0,512,16,224,False,8.096767902374268,0.022724691020902205
zamba2,a100-80gb,8192,4,81,75.0,512,16,896,False,8.309247970581055,0.024918775985429412
zamba2,a100-80gb,8192,16,81,75.0,512,16,3584,False,16.452095985412598,0.008956411842234226
zamba2,a100-80gb,8192,32,81,75.0,512,16,7168,False,32.25753593444824,0.006298724308871048
zamba2,a100-80gb,512,1,94,87.0,512,1,224,False,0.6113280057907104,0.009190044625799306
