"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,128,4096,256,256,green_ctx,0.7,76,32,ok,0.5125,1.7802,0.5356,5.6822,5.6822,2.4783,0.4035,219.1832,67.5797
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,sequential,,108,108,ok,0.5105,3.8062,0.5105,3.8062,4.3167,1.0,1.0,0.0,118.6099
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,two_stream,,108,108,ok,0.5105,3.8062,0.5304,3.6961,3.6961,0.8562,1.1679,-2.8921,138.5233
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,green_ctx,0.5,54,54,ok,0.5105,3.8062,0.5386,6.8219,6.8219,1.5804,0.6328,79.2306,75.0525
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,256,4096,256,256,green_ctx,0.7,76,32,ok,0.5105,3.8062,0.5386,11.2287,11.2287,2.6012,0.3844,195.0094,45.5976
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,sequential,,108,108,ok,0.512,0.2273,0.512,0.2273,0.7393,1.0,1.0,0.0,357.081
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,two_stream,,108,108,ok,0.512,0.2273,0.5151,0.2396,0.5151,0.6967,1.4354,5.4054,512.5497
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,green_ctx,0.5,54,54,ok,0.512,0.2273,0.5248,0.2816,0.5248,0.7098,1.4088,23.8739,503.0488
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,8,8192,256,256,green_ctx,0.7,76,32,ok,0.512,0.2273,0.5315,0.4168,0.5315,0.7188,1.3911,83.3333,496.7486
falcon_h1_3b,a100_sxm4_80gb,verified,ssm,attn,32,8192,256,256,sequential,,108,108,ok,0.5084,0.9277,0.5084,0.9277,1.4362,1.0,1.0,0.0,200.5348
