"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,green_ctx,0.5,54,54,ok,0.5146,1.4684,0.5381,2.8611,2.8611,1.4428,0.6931,94.8396,111.8468
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,8192,256,256,green_ctx,0.7,76,32,ok,0.5146,1.4684,0.5412,4.4872,4.4872,2.2628,0.4419,205.5788,71.3145
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,sequential,,108,108,ok,0.511,2.9471,0.511,2.9471,3.458,1.0,1.0,0.0,111.0453
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,two_stream,,108,108,ok,0.511,2.9471,0.5279,3.0413,3.0413,0.8795,1.137,3.1967,126.2626
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,green_ctx,0.5,54,54,ok,0.511,2.9471,0.5386,5.3468,5.3468,1.5462,0.6467,81.4281,71.8184
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,green_ctx,0.7,76,32,ok,0.511,2.9471,0.5437,8.8945,8.8945,2.5721,0.3888,201.8068,43.1729
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,sequential,,108,108,ok,0.5146,6.079,0.5146,6.079,6.5935,1.0,1.0,0.0,77.6518
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,two_stream,,108,108,ok,0.5146,6.079,0.5335,5.929,5.929,0.8992,1.1121,-2.4678,86.3558
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,green_ctx,0.5,54,54,ok,0.5146,6.079,0.5407,10.6066,10.6066,1.6086,0.6216,74.4799,48.2719
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,green_ctx,0.7,76,32,ok,0.5146,6.079,0.5412,17.7039,17.7039,2.685,0.3724,191.2322,28.9201
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,sequential,,108,108,ok,0.5135,0.343,0.5135,0.343,0.8566,1.0,1.0,0.0,308.2038
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,two_stream,,108,108,ok,0.5135,0.343,0.5212,0.3553,0.5212,0.6085,1.6434,3.5821,506.5079
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,green_ctx,0.5,54,54,ok,0.5135,0.343,0.5274,0.4168,0.5274,0.6157,1.6243,21.4925,500.6068
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,green_ctx,0.7,76,32,ok,0.5135,0.343,0.5335,0.5908,0.5908,0.6898,1.4497,72.2388,446.8154
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,sequential,,108,108,ok,0.5115,1.8145,0.5115,1.8145,2.326,1.0,1.0,0.0,123.8169
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,two_stream,,108,108,ok,0.5115,1.8145,0.5335,1.8519,1.8519,0.7962,1.256,2.0598,155.5156
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,green_ctx,0.5,54,54,ok,0.5115,1.8145,0.5407,2.8969,2.8969,1.2454,0.8029,59.6501,99.4168
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,green_ctx,0.7,76,32,ok,0.5115,1.8145,0.5361,4.4943,4.4943,1.9322,0.5175,147.6862,64.0807
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,sequential,,108,108,ok,0.5094,3.1171,0.5094,3.1171,3.6265,1.0,1.0,0.0,88.2394
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,two_stream,,108,108,ok,0.5094,3.1171,0.5248,3.0694,3.0694,0.8464,1.1815,-1.5276,104.2535
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,green_ctx,0.5,54,54,ok,0.5094,3.1171,0.5335,5.6474,5.6474,1.5572,0.6422,81.1761,56.6636
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,64,16384,256,256,green_ctx,0.7,76,32,ok,0.5094,3.1171,0.5371,8.939,8.939,2.4649,0.4057,186.7773,35.7982
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,sequential,,108,108,ok,0.5115,6.2413,0.5115,6.2413,6.7528,1.0,1.0,0.0,56.8656
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,two_stream,,108,108,ok,0.5115,6.2413,0.5304,5.9781,5.9781,0.8853,1.1296,-4.2166,64.2343
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,green_ctx,0.5,54,54,ok,0.5115,6.2413,0.5356,10.5426,10.5426,1.5612,0.6405,68.9171,36.4237
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,128,16384,256,256,green_ctx,0.7,76,32,ok,0.5115,6.2413,0.5376,17.6282,17.6282,2.6105,0.3831,182.4446,21.7833
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,sequential,,108,108,ok,0.5064,12.0484,0.5064,12.0484,12.5548,1.0,1.0,0.0,40.7814
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,two_stream,,108,108,ok,0.5064,12.0484,0.5279,11.7729,11.7729,0.9377,1.0664,-2.2863,43.4896
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,green_ctx,0.5,54,54,ok,0.5064,12.0484,0.5412,20.9152,20.9152,1.6659,0.6003,73.5934,24.4798
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,attn,256,16384,256,256,green_ctx,0.7,76,32,ok,0.5064,12.0484,0.5391,35.1478,35.1478,2.7996,0.3572,191.7219,14.5671
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,sequential,,108,108,ok,0.5094,0.512,0.5094,0.512,1.0214,1.0,1.0,0.0,258.4586
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,two_stream,,108,108,ok,0.5094,0.512,0.5038,0.5084,0.5105,0.4997,2.001,-0.7,517.1765
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,green_ctx,0.5,54,54,ok,0.5094,0.512,0.5089,0.5386,0.5386,0.5273,1.8964,5.2,490.1378
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,8,1024,256,256,green_ctx,0.7,76,32,ok,0.5094,0.512,0.513,0.5755,0.5755,0.5634,1.7749,12.4,458.7411
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,sequential,,108,108,ok,0.5146,0.596,0.5146,0.596,1.1105,1.0,1.0,0.0,259.3361
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,two_stream,,108,108,ok,0.5146,0.596,0.5002,0.5903,0.5903,0.5316,1.8812,-0.945,487.8577
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,green_ctx,0.5,54,54,ok,0.5146,0.596,0.511,0.7071,0.7071,0.6367,1.5706,18.6426,407.3135
falcon_h1_1.5b,a100_sxm4_80gb,verified,ssm,ssm,32,1024,256,256,green_ctx,0.7,76,32,ok,0.5146,0.596,0.512,0.9472,0.9472,0.8529,1.1724,58.9347,304.0541
