"# value_kind: measured=solo_prefill_ms,solo_decode_ms,prefill_stream_ms,decode_stream_ms,concurrent_ms; derived=overlap_ratio,speedup_vs_seq,decode_inflation_pct,combined_tok_per_ms; metadata=model,device,config_status,prefill_layer,decode_layer,decode_batch,context_len,prefill_tokens,chunk,backend,prefill_sm_frac,prefill_sm,decode_sm,status"
model__metadata,device__metadata,config_status__metadata,prefill_layer__metadata,decode_layer__metadata,decode_batch__metadata,context_len__metadata,prefill_tokens__metadata,chunk__metadata,backend__metadata,prefill_sm_frac__metadata,prefill_sm__metadata,decode_sm__metadata,status__metadata,solo_prefill_ms__measured,solo_decode_ms__measured,prefill_stream_ms__measured,decode_stream_ms__measured,concurrent_ms__measured,overlap_ratio__derived,speedup_vs_seq__derived,decode_inflation_pct__derived,combined_tok_per_ms__derived
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,128,8192,256,256,green_ctx,0.7,76,32,ok,0.5181,15.7875,0.5402,45.3499,45.3499,2.7812,0.3596,187.2515,8.4675
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,sequential,,108,108,ok,0.5105,31.6831,0.5105,31.6831,32.1935,1.0,1.0,0.0,15.9038
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,two_stream,,108,108,ok,0.5105,31.6831,0.5356,31.3139,31.3139,0.9727,1.0281,-1.1651,16.3506
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,green_ctx,0.5,54,54,ok,0.5105,31.6831,0.5499,53.6228,53.6228,1.6656,0.6004,69.2474,9.5482
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,256,8192,256,256,green_ctx,0.7,76,32,ok,0.5105,31.6831,0.5458,90.4407,90.4407,2.8093,0.356,185.4543,5.6612
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,sequential,,108,108,ok,0.5166,2.3588,0.5166,2.3588,2.8754,1.0,1.0,0.0,91.8136
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,two_stream,,108,108,ok,0.5166,2.3588,0.5325,2.3977,2.3977,0.8339,1.1992,1.6497,110.1057
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,green_ctx,0.5,54,54,ok,0.5166,2.3588,0.5443,3.6931,3.6931,1.2844,0.7786,56.5661,71.4855
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,8,16384,256,256,green_ctx,0.7,76,32,ok,0.5166,2.3588,0.5412,5.7528,5.7528,2.0007,0.4998,143.8897,45.8904
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,sequential,,108,108,ok,0.514,8.1961,0.514,8.1961,8.7101,1.0,1.0,0.0,33.0649
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,two_stream,,108,108,ok,0.514,8.1961,0.5381,7.9334,7.9334,0.9108,1.0979,-3.2047,36.302
zamba2_2.7b,a100_sxm4_80gb,verified,ssm,attn,32,16384,256,256,green_ctx,0.5,54,54,ok,0.514,8.1961,0.5453,13.5107,13.5107,1.5511,0.6447,64.8426,21.3165
