layer_type,model,sm_count,sm_ratio,total_sm,seq_len,batch_size,kernel_name,n_kernels_captured,grid_size,n_waves,last_wave_blocks,wave_efficiency_pct,sm_util_per_sm_pct,achieved_occupancy_pct,analytical_n_blocks,analytical_n_waves,analytical_wave_eff_pct,analytical_last_wave_blocks,analytical_wasted_sm_pct,error,_block_size_parsed,_grid_size_parsed,block_size_raw,gpu__time_duration.sum,gpu__time_duration.sum.unit,grid_size_raw,kernel_duration_ns,kernel_id,kernel_time_ns,ncu_stdout,sm__cycles_active.sum,sm__cycles_active.sum.unit,sm__cycles_elapsed.sum,sm__cycles_elapsed.sum.unit,smsp__warps_active.sum,smsp__warps_active.sum.unit,stderr,warps_active
ssm,zamba2,94,0.8703703703703703,108,512,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,7168,77,24,99.03288201160542,98.97653412705219,12.365404225380544,7168,77,99.03288201160542,24,0.9671179883945835,,256,7168,"(256, 1, 1)",6021792,ns,"(112, 64, 1)",6021792.0,696,,,893899602,cycle,903142962,cycle,7147345791,warp,,7147345791.0
ssm,zamba2,94,0.8703703703703703,108,512,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,14336,153,48,99.68015575024336,99.5644905578392,12.438852407022976,14336,153,99.68015575024336,48,0.31984424975664005,,256,14336,"(256, 1, 1)",11969536,ns,"(112, 128, 1)",11969536.0,713,,,1786930102,cycle,1794746392,cycle,14287734706,warp,,14287734706.0
ssm,zamba2,94,0.8703703703703703,108,1024,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,815,448,5,72,95.31914893617022,83.0293786602179,10.373073397766435,448,5,95.31914893617022,72,4.680851063829783,,256,448,"(256, 1, 1)",452064,ns,"(56, 8, 1)",452064.0,6,,,56576843,cycle,68140752,cycle,452370574,warp,,452370574.0
ssm,zamba2,94,0.8703703703703703,108,1024,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,1792,20,6,95.31914893617022,97.31520092407021,12.157868308551413,1792,20,95.31914893617022,6,4.680851063829783,,256,1792,"(256, 1, 1)",1534016,ns,"(112, 16, 1)",1534016.0,6,,,224331986,cycle,230521012,cycle,1793692228,warp,,1793692228.0
ssm,zamba2,94,0.8703703703703703,108,1024,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,7168,77,24,99.03288201160542,98.9814995092422,12.366025656406556,7168,77,99.03288201160542,24,0.9671179883945835,,256,7168,"(256, 1, 1)",6019424,ns,"(112, 64, 1)",6019424.0,6,,,893935457,cycle,903133880,cycle,7147633108,warp,,7147633108.0
ssm,zamba2,94,0.8703703703703703,108,1024,32,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,14336,153,48,99.68015575024336,99.62623235941066,12.446568033159698,14336,153,99.68015575024336,48,0.31984424975664005,,256,14336,"(256, 1, 1)",11954112,ns,"(112, 128, 1)",11954112.0,628,,,1786892798,cycle,1793596682,cycle,14287438801,warp,,14287438801.0
ssm,zamba2,94,0.8703703703703703,108,1024,64,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,28672,306,2,99.68015575024336,99.68347767536578,12.453719724386081,28672,306,99.68015575024336,2,0.31984424975664005,,256,28672,"(256, 1, 1)",23902528,ns,"(112, 256, 1)",23902528.0,798,,,3573288820,cycle,3584634990,cycle,28570905267,warp,,28570905267.0
ssm,zamba2,94,0.8703703703703703,108,2048,1,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn,815,896,10,50,95.31914893617022,92.08951070144028,11.504993691747053,896,10,95.31914893617022,50,4.680851063829783,,256,896,"(256, 1, 1)",814432,ns,"(56, 16, 1)",814432.0,611,,,112697830,cycle,122378574,cycle,901097422,warp,,901097422.0
ssm,zamba2,94,0.8703703703703703,108,2048,4,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,3584,39,12,97.7632296781233,97.62026624033244,12.195968238508017,3584,39,97.7632296781233,12,2.236770321876702,,256,3584,"(256, 1, 1)",3058080,ns,"(112, 32, 1)",3058080.0,6,,,447547149,cycle,458457210,cycle,3578450926,warp,,3578450926.0
ssm,zamba2,94,0.8703703703703703,108,2048,16,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn,815,14336,153,48,99.68015575024336,99.6711995001589,12.452186465331279,14336,153,99.68015575024336,48,0.31984424975664005,,256,14336,"(256, 1, 1)",13524832,ns,"(112, 128, 1)",13524832.0,679,,,1786918190,cycle,1792812968,cycle,14287642480,warp,,14287642480.0
